Category,Death_Cases_Barisal,Death_Rate_Barisal,Confirmed case_x,Case rate_x,Death_Cases_CTG,Death_Rate_CTG,Confirmed case_y,Case rate_y
March-18,1,25.0,33,7,1.0,25.0,343,7
March-21,1,25.0,47,10,1.0,25.0,385,7
March-23,1,16.7,58,11,1.0,16.7,439,8
March-24,1,16.7,55,8,1.0,16.7,397,7
March-25,1,0.0,49,8,1.0,0.0,604,9
April-01,1,33.3,113,19,1.0,33.3,979,16
April-04,2,22.2,120,20,2.0,22.2,945,14
April-05,1,5.6,158,24,1.0,5.6,851,13
April-06,3,8.6,202,27,3.0,8.6,1068,16
April-07,5,12.2,160,24,5.0,12.2,2,7
April-07,5,12.2,160,24,5.0,12.2,1005,15
April-08,3,5.6,1,25,3.0,5.6,6,23
April-08,3,5.6,1,25,3.0,5.6,1031,16
April-08,3,5.6,104,17,1.0,0.9,6,23
April-08,3,5.6,104,17,1.0,0.9,1031,16
April-09,1,0.9,111,24,6.0,6.4,4,12
April-09,1,0.9,111,24,6.0,6.4,789,13
April-10,6,6.4,121,24,3.0,5.2,9,25
April-10,6,6.4,121,24,3.0,5.2,740,13
April-11,3,5.2,2,13,4.0,2.9,6,50
April-11,3,5.2,2,13,4.0,2.9,973,15
April-11,3,5.2,150,23,5.0,2.7,6,50
April-11,3,5.2,150,23,5.0,2.7,973,15
April-12,4,2.9,8,35,7.0,3.3,3,9
April-12,4,2.9,8,35,7.0,3.3,916,12
April-12,4,2.9,109,19,4.0,1.8,3,9
April-12,4,2.9,109,19,4.0,1.8,916,12
April-13,5,2.7,8,73,10.0,2.9,8,36
April-13,5,2.7,8,73,10.0,2.9,766,18
April-13,5,2.7,143,33,15.0,5.6,8,36
April-13,5,2.7,143,33,15.0,5.6,766,18
April-14,7,3.3,4,44,9.0,2.9,6,17
April-14,7,3.3,4,44,9.0,2.9,499,19
April-14,7,3.3,107,26,7.0,2.2,6,17
April-14,7,3.3,107,26,7.0,2.2,499,19
April-15,4,1.8,4,13,10.0,2.0,6,29
April-15,4,1.8,4,13,10.0,2.0,613,25
April-15,4,1.8,66,18,9.0,2.1,6,29
April-15,4,1.8,66,18,9.0,2.1,613,25
April-16,10,2.9,8,38,10.0,2.6,12,30
April-16,10,2.9,8,38,10.0,2.6,498,19
April-16,10,2.9,115,20,7.0,1.7,12,30
April-16,10,2.9,115,20,7.0,1.7,498,19
April-17,15,5.6,8,40,4.0,0.8,8,18
April-17,15,5.6,8,40,4.0,0.8,514,18
April-17,15,5.6,135,31,9.0,2.9,8,18
April-17,15,5.6,135,31,9.0,2.9,514,18
April-18,9,2.9,4,22,5.0,1.2,11,85
April-18,9,2.9,4,22,5.0,1.2,778,15
April-18,9,2.9,164,25,7.0,1.4,11,85
April-18,9,2.9,164,25,7.0,1.4,778,15
April-19,7,2.2,6,60,3.0,0.5,8,14
April-19,7,2.2,6,60,3.0,0.5,703,13
April-19,7,2.2,99,19,8.0,1.2,8,14
April-19,7,2.2,99,19,8.0,1.2,703,13
April-20,10,2.0,8,36,5.0,0.9,6,18
April-20,10,2.0,8,36,5.0,0.9,735,13
April-20,10,2.0,150,30,2.0,0.4,6,18
April-20,10,2.0,150,30,2.0,0.4,735,13
April-21,9,2.1,8,27,5.0,0.9,7,54
April-21,9,2.1,8,27,5.0,0.9,679,12
April-21,9,2.1,126,26,2.0,0.3,7,54
April-21,9,2.1,126,26,2.0,0.3,679,12
April-22,10,2.6,6,29,5.0,0.7,6,75
April-22,10,2.6,6,29,5.0,0.7,706,13
April-22,10,2.6,82,15,1.0,0.1,6,75
April-22,10,2.6,82,15,1.0,0.1,706,13
April-23,7,1.7,8,33,3.0,0.4,8,13
April-23,7,1.7,8,33,3.0,0.4,498,12
April-23,7,1.7,92,23,13.0,1.8,8,13
April-23,7,1.7,92,23,13.0,1.8,498,12
April-24,4,0.8,21,55,7.0,1.0,10,16
April-24,4,0.8,21,55,7.0,1.0,405,12
April-24,4,0.8,91,23,8.0,1.3,10,16
April-24,4,0.8,91,23,8.0,1.3,405,12
April-25,9,2.9,7,29,14.0,1.6,3,6
April-25,9,2.9,7,29,14.0,1.6,507,10
April-25,9,2.9,77,15,11.0,1.1,3,6
April-25,9,2.9,77,15,11.0,1.1,507,10
April-26,5,1.2,7,29,11.0,1.1,5,6
April-26,5,1.2,7,29,11.0,1.1,690,12
April-26,5,1.2,83,17,19.0,1.6,5,6
April-26,5,1.2,83,17,19.0,1.6,690,12
April-27,7,1.4,9,15,14.0,1.3,22,28
April-27,7,1.4,9,15,14.0,1.3,612,11
April-27,7,1.4,95,21,15.0,1.2,22,28
April-27,7,1.4,95,21,15.0,1.2,612,11
April-28,3,0.5,3,25,16.0,1.7,55,30
April-28,3,0.5,3,25,16.0,1.7,481,10
April-28,3,0.5,81,18,14.0,1.1,55,30
April-28,3,0.5,81,18,14.0,1.1,481,10
April-29,8,1.2,10,30,21.0,1.3,43,38
April-29,8,1.2,10,30,21.0,1.3,522,10
April-29,8,1.2,58,13,21.0,1.7,43,38
April-29,8,1.2,58,13,21.0,1.7,522,10
April-30,5,0.9,2,5,16.0,1.0,31,13
April-30,5,0.9,2,5,16.0,1.0,379,10
April-30,5,0.9,57,15,22.0,1.2,31,13
April-30,5,0.9,57,15,22.0,1.2,379,10
May-01,2,0.4,2,3,24.0,1.4,12,7
May-01,2,0.4,2,3,24.0,1.4,242,7
May-01,2,0.4,62,10,20.0,1.1,12,7
May-01,2,0.4,62,10,20.0,1.1,242,7
May-02,5,0.9,6,8,28.0,1.8,15,12
May-02,5,0.9,6,8,28.0,1.8,332,8
May-02,5,0.9,83,15,21.0,1.1,15,12
May-02,5,0.9,83,15,21.0,1.1,332,8
May-03,2,0.3,7,6,21.0,1.8,16,4
May-03,2,0.3,7,6,21.0,1.8,468,10
May-03,2,0.3,49,11,22.0,1.4,16,4
May-03,2,0.3,49,11,22.0,1.4,468,10
May-04,5,0.7,7,8,15.0,0.7,6,5
May-04,5,0.7,7,8,15.0,0.7,377,8
May-04,5,0.7,52,12,23.0,0.9,6,5
May-04,5,0.7,52,12,23.0,0.9,377,8
May-05,1,0.1,5,3,28.0,1.6,27,13
May-05,1,0.1,5,3,28.0,1.6,499,11
May-05,1,0.1,65,13,40.0,1.6,27,13
May-05,1,0.1,65,13,40.0,1.6,499,11
May-06,3,0.4,4,3,22.0,0.9,17,8
May-06,3,0.4,4,3,22.0,0.9,439,9
May-06,3,0.4,33,8,37.0,1.3,17,8
May-06,3,0.4,33,8,37.0,1.3,439,9
May-07,13,1.8,61,16,37.0,1.4,13,4
May-07,13,1.8,61,16,37.0,1.4,300,8
May-08,7,1.0,12,23,35.0,1.4,3,2
May-08,7,1.0,12,23,35.0,1.4,310,9
May-08,7,1.0,34,6,30.0,1.1,3,2
May-08,7,1.0,34,6,30.0,1.1,310,9
May-09,8,1.3,4,6,35.0,1.3,10,10
May-09,8,1.3,4,6,35.0,1.3,429,10
May-09,8,1.3,26,5,42.0,1.5,10,10
May-09,8,1.3,26,5,42.0,1.5,429,10
May-10,14,1.6,7,9,42.0,1.5,300,8
May-10,14,1.6,45,11,45.0,1.4,300,8
May-11,11,1.1,3,30,37.0,1.2,1,17
May-11,11,1.1,3,30,37.0,1.2,306,8
May-11,11,1.1,30,8,37.0,1.2,1,17
May-11,11,1.1,30,8,37.0,1.2,306,8
May-12,11,1.1,6,7,46.0,1.3,27,9
May-12,11,1.1,6,7,46.0,1.3,409,12
May-12,11,1.1,38,13,44.0,1.5,27,9
May-12,11,1.1,38,13,44.0,1.5,409,12
May-13,19,1.6,33,13,32.0,1.0,3,4
May-13,19,1.6,33,13,32.0,1.0,265,11
May-14,14,1.3,25,20,38.0,1.2,4,5
May-14,14,1.3,25,20,38.0,1.2,85,7
May-15,15,1.2,10,8,53.0,1.4,11,11
May-15,15,1.2,10,8,53.0,1.4,84,5
May-16,16,1.7,14,5,43.0,1.1,35,12
May-16,16,1.7,14,5,43.0,1.1,169,7
May-16,16,1.7,25,11,38.0,1.0,35,12
May-16,16,1.7,25,11,38.0,1.0,169,7
May-17,14,1.1,15,5,45.0,1.4,58,11
May-17,14,1.1,15,5,45.0,1.4,356,9
May-17,14,1.1,47,13,37.0,1.1,58,11
May-17,14,1.1,47,13,37.0,1.1,356,9
May-18,21,1.3,10,13,39.0,1.1,70,16
May-18,21,1.3,10,13,39.0,1.1,456,9
May-18,21,1.3,32,8,38.0,1.1,70,16
May-18,21,1.3,32,8,38.0,1.1,456,9
May-19,21,1.7,30,17,43.0,1.3,69,19
May-19,21,1.7,30,17,43.0,1.3,391,13
May-19,21,1.7,21,6,37.0,1.1,69,19
May-19,21,1.7,21,6,37.0,1.1,391,13
May-20,16,1.0,3,2,39.0,1.0,97,20
May-20,16,1.0,3,2,39.0,1.0,359,9
May-20,16,1.0,37,9,40.0,1.0,97,20
May-20,16,1.0,37,9,40.0,1.0,359,9
May-21,22,1.2,24,10,34.0,1.0,78,16
May-21,22,1.2,24,10,34.0,1.0,281,11
May-21,22,1.2,28,8,43.0,1.1,78,16
May-21,22,1.2,28,8,43.0,1.1,281,11
May-22,24,1.4,14,12,45.0,1.1,80,15
May-22,24,1.4,14,12,45.0,1.1,334,12
May-22,24,1.4,25,7,64.0,1.7,80,15
May-22,24,1.4,25,7,64.0,1.7,334,12
May-23,20,1.1,10,3,41.0,1.1,113,18
May-23,20,1.1,10,3,41.0,1.1,409,12
May-23,20,1.1,29,8,38.0,0.9,113,18
May-23,20,1.1,29,8,38.0,0.9,409,12
May-24,28,1.8,34,17,42.0,1.3,108,30
May-24,28,1.8,34,17,42.0,1.3,407,13
May-24,28,1.8,55,14,29.0,0.9,108,30
May-24,28,1.8,55,14,29.0,0.9,407,13
May-25,21,1.1,21,22,55.0,2.0,53,20
May-25,21,1.1,21,22,55.0,2.0,406,12
May-25,21,1.1,19,5,44.0,1.4,53,20
May-25,21,1.1,19,5,44.0,1.4,406,12
May-26,21,1.8,17,9,55.0,1.8,104,10
May-26,21,1.8,17,9,55.0,1.8,263,10
May-26,21,1.8,22,3,46.0,1.3,104,10
May-26,21,1.8,22,3,46.0,1.3,263,10
May-27,22,1.4,20,6,41.0,1.2,159,19
May-27,22,1.4,20,6,41.0,1.2,379,12
May-27,22,1.4,47,5,37.0,1.3,159,19
May-27,22,1.4,47,5,37.0,1.3,379,12
May-28,15,0.7,11,10,30.0,1.1,127,28
May-28,15,0.7,11,10,30.0,1.1,230,9
May-28,15,0.7,130,29,47.0,1.8,127,28
May-28,15,0.7,130,29,47.0,1.8,230,9
May-29,23,0.9,54,14,39.0,1.3,194,17
May-29,23,0.9,54,14,39.0,1.3,374,13
May-29,23,0.9,53,6,33.0,1.0,194,17
May-29,23,0.9,53,6,33.0,1.0,374,13
May-30,28,1.6,54,19,33.0,0.9,74,17
May-30,28,1.6,54,19,33.0,0.9,402,12
May-30,28,1.6,20,2,39.0,1.4,74,17
May-30,28,1.6,20,2,39.0,1.4,402,12
May-31,40,1.6,68,21,51.0,1.7,100,19
May-31,40,1.6,68,21,51.0,1.7,513,15
May-31,40,1.6,54,7,34.0,1.3,100,19
May-31,40,1.6,54,7,34.0,1.3,513,15
June-01,22,0.9,63,14,37.0,1.5,180,24
June-01,22,0.9,63,14,37.0,1.5,369,11
June-01,22,0.9,28,8,50.0,1.7,180,24
June-01,22,0.9,28,8,50.0,1.7,369,11
June-02,37,1.3,57,16,41.0,1.3,383,24
June-02,37,1.3,57,16,41.0,1.3,467,14
June-02,37,1.3,54,13,42.0,1.5,383,24
June-02,37,1.3,54,13,42.0,1.5,467,14
June-03,37,1.4,66,11,50.0,1.8,227,22
June-03,37,1.4,66,11,50.0,1.8,454,13
June-03,37,1.4,78,10,35.0,1.4,227,22
June-03,37,1.4,78,10,35.0,1.4,454,13
June-04,35,1.4,94,14,38.0,1.5,336,24
June-04,35,1.4,94,14,38.0,1.5,239,9
June-04,35,1.4,36,10,54.0,2.4,336,24
June-04,35,1.4,36,10,54.0,2.4,239,9
June-05,30,1.1,59,13,37.0,1.3,366,23
June-05,30,1.1,59,13,37.0,1.3,309,12
June-05,30,1.1,18,6,35.0,1.2,366,23
June-05,30,1.1,18,6,35.0,1.2,309,12
June-06,35,1.3,82,16,35.0,1.2,311,24
June-06,35,1.3,82,16,35.0,1.2,299,10
June-06,35,1.3,36,10,48.0,1.8,311,24
June-06,35,1.3,36,10,48.0,1.8,299,10
June-07,42,1.5,1,9,28.0,1.0,187,20
June-07,42,1.5,1,9,28.0,1.0,341,10
June-07,42,1.5,48,12,21.0,1.0,187,20
June-07,42,1.5,48,12,21.0,1.0,341,10
June-08,42,1.5,96,42,22.0,2.5,422,22
June-08,42,1.5,96,42,22.0,2.5,353,10
June-08,42,1.5,53,16,30.0,2.2,422,22
June-08,42,1.5,53,16,30.0,2.2,353,10
June-09,45,1.4,47,25,50.0,2.6,385,22
June-09,45,1.4,47,25,50.0,2.6,406,12
June-09,45,1.4,26,7,33.0,1.2,385,22
June-09,45,1.4,26,7,33.0,1.2,406,12
June-10,37,1.2,82,38,39.0,1.3,359,26
June-10,37,1.2,82,38,39.0,1.3,392,12
June-10,37,1.2,26,6,27.0,0.9,359,26
June-10,37,1.2,26,6,27.0,0.9,392,12
June-11,37,1.2,74,36,32.0,1.2,419,25
June-11,37,1.2,74,36,32.0,1.2,231,11
June-11,37,1.2,28,8,34.0,1.4,419,25
June-11,37,1.2,28,8,34.0,1.4,231,11
June-12,46,1.3,123,22,39.0,1.3,256,28
June-12,46,1.3,123,22,39.0,1.3,362,13
June-12,46,1.3,36,10,33.0,1.1,256,28
June-12,46,1.3,36,10,33.0,1.1,362,13
June-13,44,1.5,91,16,42.0,1.4,419,26
June-13,44,1.5,91,16,42.0,1.4,608,18
June-13,44,1.5,52,12,44.0,1.7,419,26
June-13,44,1.5,52,12,44.0,1.7,608,18
June-14,32,1.0,93,32,34.0,1.2,364,26
June-14,32,1.0,93,32,34.0,1.2,468,13
June-14,32,1.0,26,8,34.0,1.3,364,26
June-14,32,1.0,26,8,34.0,1.3,468,13
June-15,38,1.2,142,19,32.0,1.6,428,29
June-15,38,1.2,142,19,32.0,1.6,561,15
June-15,38,1.2,45,11,37.0,1.4,428,29
June-15,38,1.2,45,11,37.0,1.4,561,15
June-16,53,1.4,92,22,46.0,1.4,553,31
June-16,53,1.4,92,22,46.0,1.4,458,12
June-16,53,1.4,50,13,41.0,1.5,553,31
June-16,53,1.4,50,13,41.0,1.5,458,12
June-17,43,1.1,98,42,41.0,1.4,640,24
June-17,43,1.1,98,42,41.0,1.4,528,15
June-17,43,1.1,65,17,39.0,1.6,640,24
June-17,43,1.1,65,17,39.0,1.6,528,15
June-18,38,1.0,81,33,46.0,2.0,363,24
June-18,38,1.0,81,33,46.0,2.0,313,12
June-18,38,1.0,75,26,34.0,1.7,363,24
June-18,38,1.0,75,26,34.0,1.7,313,12
June-19,45,1.4,72,35,42.0,1.7,485,29
June-19,45,1.4,72,35,42.0,1.7,421,14
June-19,45,1.4,108,16,45.0,1.8,485,29
June-19,45,1.4,108,16,45.0,1.8,421,14
June-20,37,1.1,93,54,54.0,2.1,491,37
June-20,37,1.1,93,54,54.0,2.1,537,16
June-20,37,1.1,95,24,45.0,1.8,491,37
June-20,37,1.1,95,24,45.0,1.8,537,16
June-21,39,1.1,85,37,47.0,2.1,564,29
June-21,39,1.1,85,37,47.0,2.1,734,18
June-21,39,1.1,91,22,32.0,1.5,564,29
June-21,39,1.1,91,22,32.0,1.5,734,18
June-22,38,1.1,102,34,42.0,2.2,707,26
June-22,38,1.1,102,34,42.0,2.2,711,19
June-22,38,1.1,103,23,33.0,1.5,707,26
June-22,38,1.1,103,23,33.0,1.5,711,19
June-23,43,1.3,64,27,35.0,1.8,675,28
June-23,43,1.3,64,27,35.0,1.8,713,18
June-23,43,1.3,116,30,35.0,1.4,675,28
June-23,43,1.3,116,30,35.0,1.4,713,18
June-24,37,1.1,99,29,32.0,1.5,633,25
June-24,37,1.1,99,29,32.0,1.5,836,19
June-24,37,1.1,108,22,29.0,1.5,633,25
June-24,37,1.1,108,22,29.0,1.5,836,19
June-25,39,1.0,78,30,35.0,1.8,680,25
June-25,39,1.0,78,30,35.0,1.8,460,16
June-25,39,1.0,71,22,32.0,2.0,680,25
June-25,39,1.0,71,22,32.0,2.0,460,16
June-26,40,1.0,127,19,37.0,1.7,555,26
June-26,40,1.0,127,19,37.0,1.7,815,20
June-26,40,1.0,139,31,36.0,1.9,555,26
June-26,40,1.0,139,31,36.0,1.9,815,20
June-27,34,1.0,108,24,41.0,2.2,359,23
June-27,34,1.0,108,24,41.0,2.2,1211,26
June-27,34,1.0,174,33,41.0,2.2,359,23
June-27,34,1.0,174,33,41.0,2.2,1211,26
June-28,43,1.1,119,23,34.0,1.9,515,26
June-28,43,1.1,119,23,34.0,1.9,988,20
June-28,43,1.1,162,34,34.0,2.7,515,26
June-28,43,1.1,162,34,34.0,2.7,988,20
June-29,45,1.1,126,26,31.0,2.1,471,22
June-29,45,1.1,126,26,31.0,2.1,1177,23
June-29,45,1.1,174,36,26.0,1.4,471,22
June-29,45,1.1,174,36,26.0,1.4,1177,23
June-30,64,1.7,103,21,43.0,2.5,493,28
June-30,64,1.7,103,21,43.0,2.5,1311,28
June-30,64,1.7,163,38,21.0,1.3,493,28
June-30,64,1.7,163,38,21.0,1.3,1311,28
July-01,41,1.1,72,26,36.0,2.3,611,31
July-01,41,1.1,72,26,36.0,2.3,761,26
July-01,41,1.1,161,34,22.0,1.4,611,31
July-01,41,1.1,161,34,22.0,1.4,761,26
July-02,38,0.9,88,18,32.0,2.0,496,23
July-02,38,0.9,88,18,32.0,2.0,163,19
July-02,38,0.9,2,4,26.0,1.7,496,23
July-02,38,0.9,2,4,26.0,1.7,163,19
July-03,42,1.3,114,20,40.0,2.3,386,21
July-04,29,0.9,119,31,28.0,1.8,362,22
July-05,55,2.0,115,25,37.0,2.2,490,24
